0     0.15 0.168163
0.5 0.175 0.215
1  0.2 0.24
1.5 0.225 0.265
2 0.25 0.29
2.5 0.275 0.315
3  0.3 0.34
3.5 0.325 0.365
4 0.35 0.39
4.5 0.375 0.415
5  0.4 0.44
5.5 0.425 0.465
6 0.45 0.49
6.5 0.375 0.415
7 0.475 0.515
7.5  0.4 0.44
8  0.5 0.54
8.5 0.425 0.465
9 0.525 0.565
9.5 0.45 0.49
10 0.55 0.59
10.5 0.475 0.515
11 0.575 0.615
11.5  0.5 0.54
12  0.6 0.64
12.5 0.525 0.565
13 0.625 0.665
13.5 0.55 0.59
14 0.65 0.69
14.5 0.575 0.615
15 0.675 0.715
15.5  0.6 0.64
16  0.7 0.74
16.5 0.625 0.665
17 0.725 0.765
17.5 0.65 0.69
18 0.75 0.79
18.5 0.675 0.715
19 0.725046 0.765046
19.5  0.7 0.74
20  0.7 0.74
20.5  0.7 0.74
21  0.7 0.74
21.5  0.7 0.74
22  0.7 0.74
22.5  0.7 0.74
23  0.7 0.74
23.5 0.750046 0.790046
24 0.825 0.665
24.5 0.75 0.74
25 0.85 0.64
25.5 0.775 0.715
26 0.875 0.615
26.5  0.8 0.69
27 0.850046 0.639954
27.5 0.850046 0.639954
28 0.75 0.54
28.5 0.825 0.615
29 0.725 0.515
29.5  0.8 0.59
30 0.850046 0.539954
30.5 0.725 0.465
31  0.8 0.54
31.5 0.850046 0.489954
32 0.725 0.415
32.5  0.8 0.49
33 0.850046 0.439954
33.5 0.725 0.365
34  0.8 0.44
34.5  0.7 0.34
35 0.775 0.415
35.5 0.675 0.315
36 0.85 0.29
36.5 0.775 0.365
37 0.825046 0.314954
37.5 0.850046 0.289954
38 0.725 0.215
38.5  0.8 0.29
39 0.749954 0.239954
39.5 0.675 0.365
40 0.800046 0.239954
40.5 0.675 0.365
41 0.65 0.39
41.5 0.625 0.415
42  0.8 0.44
42.5 0.625 0.465
43  0.6 0.49
43.5 0.575 0.515
44 0.75 0.54
44.5 0.575 0.565
45 0.55 0.59
45.5 0.625 0.515
46 0.725 0.615
46.5 0.55 0.64
47 0.525 0.665
47.5  0.5 0.69
48 0.475 0.715
48.5 0.45 0.74
49 0.425 0.765
49.5  0.4 0.79
50 0.375 0.815
50.5 0.45 0.74
51 0.35 0.84
51.5 0.374954 0.815046
52 0.349954 0.840046
52.5 0.324954 0.865046
53 0.299954 0.789954
53.5 0.375046 0.865046
54 0.25 0.74
54.5 0.274954 0.865046
55 0.249954 0.789954
55.5 0.325046 0.865046
56 0.249954 0.789954
56.5 0.325046 0.865046
57  0.4 0.74
57.5 0.375046 0.865046
58 0.25 0.74
58.5 0.375046 0.865046
59 0.400046 0.789954
59.5 0.324954 0.865046
60 0.45 0.74
60.5 0.324954 0.865046
61 0.45 0.74
61.5 0.324954 0.865046
62 0.45 0.74
62.5 0.324954 0.865046
63 0.45 0.74
63.5 0.324954 0.865046
64 0.45 0.74
64.5 0.324954 0.865046
65 0.45 0.74
65.5 0.324954 0.865046
66 0.45 0.74
66.5 0.324954 0.865046
67 0.45 0.74
67.5 0.425046 0.865046
68  0.5 0.74
68.5 0.475046 0.865046
69 0.500046 0.789954
69.5 0.525046 0.865046
70 0.525046 0.865046
70.5 0.425 0.765
71  0.4 0.74
71.5 0.449954 0.840046
72 0.35 0.74
72.5 0.399954 0.840046
73  0.3 0.74
73.5 0.349954 0.840046
74 0.25 0.74
74.5 0.299954 0.840046
75 0.249954 0.789954
75.5 0.224954 0.865046
76 0.15 0.74
76.5 0.174954 0.865046
77  0.3 0.74
77.5 0.199954 0.840046
78 0.225046 0.814954
78.5 0.250046 0.840046
79 0.300046 0.789954
79.5 0.249954 0.840046
80 0.300046 0.789954
80.5 0.249954 0.840046
81 0.35 0.74
81.5 0.249954 0.840046
82 0.35 0.74
82.5 0.249954 0.840046
83 0.35 0.74
83.5 0.249954 0.840046
84 0.35 0.74
84.5 0.300046 0.840046
85 0.249954 0.789954
85.5 0.300046 0.840046
86  0.4 0.74
86.5 0.425 0.715
87 0.45 0.69
87.5 0.275 0.665
88 0.25 0.84
88.5 0.425 0.665
89 0.25 0.64
89.5 0.425 0.815
90 0.299954 0.689954
90.5 0.425 0.815
91 0.299954 0.689954
91.5 0.425 0.815
92 0.299954 0.689954
92.5 0.425 0.815
93 0.299954 0.689954
93.5 0.425 0.815
94 0.400046 0.689954
94.5 0.475 0.815
95  0.5 0.84
95.5 0.475046 0.815046
96 0.500046 0.840046
96.5 0.525046 0.865046
97  0.6 0.74
97.5 0.575046 0.865046
98 0.65 0.74
98.5 0.625046 0.865046
99  0.7 0.74
99.5 0.675046 0.865046
100 0.75 0.74
100.5 0.675 0.815
101 0.725046 0.865046
101.5 0.725046 0.865046
102 0.825 0.765
102.5 0.75 0.84
103 0.85 0.74
103.5 0.775 0.815
104 0.825046 0.865046
104.5 0.850046 0.789954
105 0.850046 0.840046
105.5 0.824954 0.814954
106 0.850046 0.789954
106.5 0.85 0.79
107 0.75 0.69
107.5 0.850046 0.739954
108 0.75 0.64
108.5 0.875046 0.664954
109 0.75 0.59
109.5 0.825 0.665
110 0.850046 0.639954
110.5 0.85 0.64
111 0.75 0.54
111.5 0.825 0.615
112 0.850046 0.589954
112.5 0.75 0.49
113 0.825 0.565
113.5 0.875046 0.514954
114 0.75 0.44
114.5 0.825 0.515
115 0.875046 0.464954
115.5 0.75 0.39
116 0.825 0.465
116.5 0.875046 0.414954
117 0.75 0.34
117.5 0.825 0.415
118 0.875046 0.364954
118.5 0.75 0.29
119 0.725 0.265
