0, 0.1, 1, 0.681633, 
0.5, 0.6, 1, 1, 
1, 1.1, 1, 1, 
1.5, 1.6, 1, 1, 
2, 2.1, 1, 1, 
2.5, 2.6, 1, 1, 
3, 3.1, 1, 1, 
3.5, 3.6, 1, 1, 
4, 4.1, 1, 1, 
4.5, 4.6, 1, 1, 
5, 5.1, 1, 1, 
5.5, 5.6, 1, 1, 
6, 6.1, 1, 1, 
7, 7.1, 1, 1, 
8, 8.1, 1, 1, 
9, 9.1, 1, 1, 
10, 10.1, 1, 1, 
11, 11.1, 1, 1, 
12, 12.1, 1, 1, 
13, 13.1, 1, 1, 
14, 14.1, 1, 1, 
15, 15.1, 1, 1, 
16, 16.1, 1, 1, 
17, 17.1, 1, 1, 
18, 18.1, 1, 1, 
19, 19.05, 1, 1, 
23.5, 23.55, 1, 1, 
24, 24.1, 1, -1, 
25, 25.1, 1, -1, 
26, 26.1, 1, -1, 
27, 27.05, 1, -1, 
27.5, 27.525, 1, -1, 
28, 28.1, -1, -1, 
29, 29.1, -1, -1, 
30, 30.05, 1, -1, 
30.5, 30.6, -1, -1, 
31.5, 31.55, 1, -1, 
32, 32.1, -1, -1, 
33, 33.05, 1, -1, 
33.5, 33.6, -1, -1, 
34.5, 34.6, -1, -1, 
35.5, 35.6, -1, -1, 
36, 36.1, 1, -1, 
37, 37.05, 1, -1, 
37.5, 37.55, 1, -1, 
38, 38.1, -1, -1, 
39, 39.05, -1, -1, 
39.5, 39.6, -1, 1, 
40, 40.05, 1, -1, 
40.5, 40.6, -1, 1, 
41, 41.1, -1, 1, 
41.5, 41.6, -1, 1, 
42, 42.1, 1, 1, 
42.5, 42.6, -1, 1, 
43, 43.1, -1, 1, 
43.5, 43.6, -1, 1, 
44, 44.1, 1, 1, 
44.5, 44.6, -1, 1, 
45, 45.1, -1, 1, 
46, 46.1, 1, 1, 
46.5, 46.6, -1, 1, 
47, 47.1, -1, 1, 
47.5, 47.6, -1, 1, 
48, 48.1, -1, 1, 
48.5, 48.6, -1, 1, 
49, 49.1, -1, 1, 
49.5, 49.6, -1, 1, 
50, 50.1, -1, 1, 
51, 51.1, -1, 1, 
51.5, 51.55, -1, 1, 
52, 52.05, -1, 1, 
52.5, 52.55, -1, 1, 
53, 53.05, -1, -1, 
53.5, 53.55, 1, 1, 
54, 54.1, -1, -1, 
54.5, 54.55, -1, 1, 
55, 55.05, -1, -1, 
55.5, 55.55, 1, 1, 
56, 56.05, -1, -1, 
56.5, 56.55, 1, 1, 
57, 57.1, 1, -1, 
57.5, 57.55, 1, 1, 
58, 58.1, -1, -1, 
58.5, 58.55, 1, 1, 
59, 59.05, 1, -1, 
59.5, 59.55, -1, 1, 
60, 60.1, 1, -1, 
60.5, 60.55, -1, 1, 
61, 61.1, 1, -1, 
61.5, 61.55, -1, 1, 
62, 62.1, 1, -1, 
62.5, 62.55, -1, 1, 
63, 63.1, 1, -1, 
63.5, 63.55, -1, 1, 
64, 64.1, 1, -1, 
64.5, 64.55, -1, 1, 
65, 65.1, 1, -1, 
65.5, 65.55, -1, 1, 
66, 66.1, 1, -1, 
66.5, 66.55, -1, 1, 
67, 67.1, 1, -1, 
67.5, 67.55, 1, 1, 
68, 68.1, 1, -1, 
68.5, 68.55, 1, 1, 
69, 69.05, 1, -1, 
69.5, 69.55, 1, 1, 
70, 70.025, 1, 1, 
70.5, 70.6, -1, -1, 
71, 71.1, -1, -1, 
71.5, 71.525, -1, 1, 
72, 72.1, -1, -1, 
72.5, 72.525, -1, 1, 
73, 73.1, -1, -1, 
73.5, 73.525, -1, 1, 
74, 74.1, -1, -1, 
74.5, 74.525, -1, 1, 
75, 75.05, -1, -1, 
75.5, 75.55, -1, 1, 
76, 76.1, -1, -1, 
76.5, 76.55, -1, 1, 
77, 77.1, 1, -1, 
77.5, 77.525, -1, 1, 
78, 78.025, 1, -1, 
78.5, 78.525, 1, 1, 
79, 79.05, 1, -1, 
79.5, 79.525, -1, 1, 
80, 80.05, 1, -1, 
80.5, 80.525, -1, 1, 
81, 81.1, 1, -1, 
81.5, 81.525, -1, 1, 
82, 82.1, 1, -1, 
82.5, 82.525, -1, 1, 
83, 83.1, 1, -1, 
83.5, 83.525, -1, 1, 
84, 84.1, 1, -1, 
84.5, 84.525, 1, 1, 
85, 85.05, -1, -1, 
85.5, 85.525, 1, 1, 
86, 86.1, 1, -1, 
86.5, 86.6, 1, -1, 
87, 87.1, 1, -1, 
87.5, 87.6, -1, -1, 
88, 88.1, -1, 1, 
88.5, 88.6, 1, -1, 
89, 89.1, -1, -1, 
89.5, 89.6, 1, 1, 
90, 90.05, -1, -1, 
90.5, 90.6, 1, 1, 
91, 91.05, -1, -1, 
91.5, 91.6, 1, 1, 
92, 92.05, -1, -1, 
92.5, 92.6, 1, 1, 
93, 93.05, -1, -1, 
93.5, 93.6, 1, 1, 
94, 94.05, 1, -1, 
94.5, 94.6, 1, 1, 
95, 95.1, 1, 1, 
95.5, 95.55, 1, 1, 
96, 96.05, 1, 1, 
96.5, 96.55, 1, 1, 
97, 97.1, 1, -1, 
97.5, 97.55, 1, 1, 
98, 98.1, 1, -1, 
98.5, 98.55, 1, 1, 
99, 99.1, 1, -1, 
99.5, 99.55, 1, 1, 
100, 100.1, 1, -1, 
101, 101.05, 1, 1, 
101.5, 101.525, 1, 1, 
102, 102.1, 1, -1, 
103, 103.1, 1, -1, 
104, 104.05, 1, 1, 
104.5, 104.55, 1, -1, 
105, 105.025, 1, 1, 
105.5, 105.525, -1, -1, 
106, 106.025, 1, -1, 
107, 107.1, -1, -1, 
107.5, 107.525, 1, -1, 
108, 108.1, -1, -1, 
108.5, 108.55, 1, -1, 
109, 109.1, -1, -1, 
110, 110.025, 1, -1, 
111, 111.1, -1, -1, 
112, 112.025, 1, -1, 
112.5, 112.6, -1, -1, 
113.5, 113.55, 1, -1, 
114, 114.1, -1, -1, 
115, 115.05, 1, -1, 
115.5, 115.6, -1, -1, 
116.5, 116.55, 1, -1, 
117, 117.1, -1, -1, 
118, 118.05, 1, -1, 
118.5, 118.6, -1, -1, 
119, 119.1, -1, -1, 
119.5, 119.6, -1, -1, 
120, 120.1, -1, -1, 
120.5, 120.6, -1, -1, 
121, 121.1, -1, -1, 
121.5, 121.55, -1, -1, 
122, 122.05, 1, -1, 
122.5, 122.55, 1, -1, 
123, 123.025, 1, -1, 
123.5, 123.55, 1, 1, 
124, 124.025, 1, -1, 
124.5, 124.6, -1, 1, 
125, 125.1, -1, 1, 
125.5, 125.55, -1, -1, 
126, 126.1, -1, 1, 
127, 127.05, -1, -1, 
127.5, 127.6, -1, 1, 
128, 128.05, -1, -1, 
128.5, 128.6, -1, 1, 
129, 129.1, -1, 1, 
129.5, 129.6, -1, 1, 
130, 130.1, -1, 1, 
130.5, 130.6, -1, 1, 
131, 131.1, -1, 1, 
131.5, 131.6, -1, 1, 
132, 132.1, -1, 1, 
133, 133.1, -1, 1, 
133.5, 133.6, -1, 1, 
134, 134.1, -1, 1, 
134.5, 134.6, -1, 1, 
135, 135.1, -1, 1, 
135.5, 135.6, -1, 1, 
136, 136.1, -1, 1, 
137, 137.1, -1, 1, 
137.5, 137.55, -1, 1, 
138, 138.05, -1, 1, 
138.5, 138.55, -1, 1, 
139, 139.1, 1, 1, 
139.5, 139.55, -1, 1, 
140, 140.1, 1, 1, 
140.5, 140.525, -1, -1, 
141, 141.05, 1, -1, 
141.5, 141.525, -1, -1, 
142, 142.05, 1, 1, 
142.5, 142.55, -1, -1, 
143, 143.1, 1, 1, 
143.5, 143.525, -1, -1, 
144, 144.025, 1, 1, 
145, 145.025, -1, 1, 
145.5, 145.525, 1, -1, 
146, 146.012, -1, 1, 
147, 147.05, 1, 1, 
147.5, 147.525, -1, -1, 
148, 148.025, 1, 1, 
148.5, 148.55, -1, -1, 
149, 149.1, 1, 1, 
149.5, 149.525, -1, -1, 
150, 150.025, 1, 1, 
150.5, 150.55, -1, -1, 
151, 151.1, 1, -1, 
151.5, 151.525, -1, -1, 
152, 152.025, 1, 1, 
152.5, 152.55, -1, -1, 
153, 153.1, 1, 1, 
153.5, 153.525, -1, -1, 
154, 154.025, 1, 1, 
155, 155.025, -1, 1, 
155.5, 155.525, 1, -1, 
156, 156.025, -1, 1, 
156.5, 156.6, 1, -1, 
157, 157.025, -1, -1, 
157.5, 157.525, 1, 1, 
158, 158.025, -1, -1, 
159, 159.05, 1, 1, 
159.5, 159.525, -1, 1, 
160, 160.05, 1, 1, 
160.5, 160.55, -1, -1, 
161, 161.1, 1, 1, 
161.5, 161.525, -1, -1, 
162, 162.05, 1, -1, 
163, 163.025, -1, 1, 
163.5, 163.55, 1, 1, 
164, 164.025, -1, 1, 
164.5, 164.6, 1, 1, 
165, 165.025, -1, -1, 
165.5, 165.525, 1, 1, 
166, 166.012, -1, -1, 
167, 167.05, 1, 1, 
167.5, 167.525, -1, -1, 
168, 168.025, 1, 1, 
168.5, 168.55, -1, 1, 
169, 169.05, 1, 1, 
169.5, 169.525, -1, -1, 
170, 170.025, 1, 1, 
171, 171.025, -1, -1, 
171.5, 171.6, 1, -1, 
172, 172.025, -1, -1, 
172.5, 172.6, 1, -1, 
173, 173.025, -1, -1, 
173.5, 173.6, 1, -1, 
174, 174.025, -1, -1, 
175, 175.05, 1, 1, 
175.5, 175.6, 1, -1, 
176, 176.05, -1, 1, 
176.5, 176.6, 1, -1, 
177, 177.05, -1, -1, 
177.5, 177.6, 1, -1, 
178, 178.05, -1, -1, 
179, 179.1, 1, 1, 
179.5, 179.55, -1, 1, 
180, 180.1, 1, 1, 
180.5, 180.55, -1, 1, 
181, 181.1, 1, 1, 
181.5, 181.55, -1, -1, 
182, 182.1, 1, 1, 
183, 183.05, -1, 1, 
183.5, 183.6, 1, 1, 
184, 184.05, -1, -1, 
184.5, 184.6, 1, -1, 
185, 185.05, -1, -1, 
185.5, 185.6, 1, -1, 
186, 186.05, -1, -1, 
187, 187.1, 1, 1, 
187.5, 187.55, -1, 1, 
188, 188.1, 1, 1, 
188.5, 188.55, -1, -1, 
189, 189.1, 1, -1, 
189.5, 189.55, -1, -1, 
190, 190.1, 1, 1, 
191, 191.05, -1, 1, 
191.5, 191.6, 1, 1, 
192, 192.05, -1, 1, 
192.5, 192.6, 1, -1, 
193, 193.05, -1, -1, 
193.5, 193.6, 1, -1, 
194, 194.1, 1, -1, 
195, 195.05, -1, 1, 
195.5, 195.55, -1, 1, 
196, 196.1, 1, 1, 
196.5, 196.55, -1, -1, 
197, 197.1, 1, -1, 
197.5, 197.55, -1, -1, 
198, 198.1, 1, -1, 
199, 199.05, -1, 1, 
199.5, 199.6, 1, 1, 
200, 200.05, -1, 1, 
201, 201.1, 1, 1, 
201.5, 201.55, -1, 1, 
202, 202.1, 1, 1, 
202.5, 202.55, -1, 1, 
203, 203.025, -1, 1, 
203.5, 203.55, 1, 1, 
204, 204.025, -1, 1, 
204.5, 204.6, 1, -1, 
205, 205.1, 1, -1, 
206, 206.05, -1, -1, 
206.5, 206.6, 1, -1, 
207, 207.1, 1, -1, 
207.5, 207.6, 1, -1, 
208, 208.1, 1, -1, 
208.5, 208.6, 1, -1, 
209, 209.1, 1, -1, 
209.5, 209.6, 1, -1, 
210, 210.1, -1, -1, 
211, 211.1, -1, 1, 
211.5, 211.6, -1, 1, 
212, 212.1, -1, -1, 
212.5, 212.6, 1, -1, 
213, 213.1, 1, -1, 
213.5, 213.6, 1, -1, 
214, 214.05, -1, -1, 
215, 215.1, -1, 1, 
215.5, 215.6, -1, 1, 
216, 216.05, -1, 1, 
217, 217.1, 1, 1, 
217.5, 217.6, 1, 1, 
218, 218.1, 1, -1, 
219, 219.1, -1, 1, 
219.5, 219.6, -1, 1, 
220, 220.05, 1, 1, 
220.5, 220.6, 1, -1, 
221, 221.1, 1, -1, 
221.5, 221.6, 1, -1, 
222, 222.1, -1, 1, 
223, 223.05, -1, 1, 
223.5, 223.6, 1, -1, 
224, 224.1, -1, 1, 
224.5, 224.6, 1, -1, 
225, 225.1, 1, -1, 
225.5, 225.6, 1, -1, 
226, 226.1, 1, -1, 
227, 227.1, -1, 1, 
227.5, 227.6, -1, 1, 
228, 228.1, -1, 1, 
228.5, 228.6, 1, -1, 
229, 229.1, 1, -1, 
229.5, 229.6, 1, -1, 
230, 230.1, 1, -1, 
231, 231.1, -1, -1, 
231.5, 231.6, 1, -1, 
232, 232.1, 1, -1, 
232.5, 232.6, 1, -1, 
233, 233.1, 1, -1, 
233.5, 233.6, 1, -1, 
234, 234.1, 1, -1, 
234.5, 234.6, 1, -1, 
235, 235.1, 1, -1, 
235.5, 235.6, 1, -1, 
236, 236.1, 1, -1, 
236.5, 236.6, 1, -1, 
237, 237.05, 1, -1, 
237.5, 237.55, 1, -1, 
238, 238.1, 1, 1, 
239, 239.05, 1, -1, 
239.5, 239.55, 1, 1, 
240, 240.025, 1, -1, 
240.5, 240.55, 1, 1, 
241, 241.05, -1, -1, 
241.5, 241.525, 1, 1, 
